Leading Cancer Sites,Leading Cancer Sites Code,Year,Year Code,Sex,Sex Code,Ethnicity,Ethnicity Code,Mortality-Incidence Age-Adjusted Rate Ratio,Death Counts,Mortality Population,Mortality Age-Adjusted Rate,Incidence Counts,Incidence Population,Incidence Age-Adjusted Rate
Ovary,27040,2016,2016,Female,F,Hispanic,2135-2,0.487,998,28342097,4.931,2271,28342097,10.122
Ovary,27040,2016,2016,Female,F,Non-Hispanic,2186-5,0.64,13181,135643965,6.936,18989,135643965,10.832
Ovary,27040,2016,2016,Female,F,Unknown or Missing,UNK,Not Applicable,44,Not Applicable,Not Applicable,40,Not Applicable,Not Applicable
Ovary,27040,2017,2017,Female,F,Hispanic,2135-2,0.524,1107,28906337,5.224,2321,28906337,9.961
Ovary,27040,2017,2017,Female,F,Non-Hispanic,2186-5,0.636,13066,136102346,6.722,18794,136102346,10.565
Ovary,27040,2017,2017,Female,F,Unknown or Missing,UNK,Not Applicable,20,Not Applicable,Not Applicable,36,Not Applicable,Not Applicable
Ovary,27040,2018,2018,Female,F,Hispanic,2135-2,0.51,1098,29449021,4.857,2300,29449021,9.527
Ovary,27040,2018,2018,Female,F,Non-Hispanic,2186-5,0.635,12628,136428665,6.416,18066,136428665,10.111
Ovary,27040,2018,2018,Female,F,Unknown or Missing,UNK,Not Applicable,22,Not Applicable,Not Applicable,33,Not Applicable,Not Applicable
Ovary,27040,2019,2019,Female,F,Hispanic,2135-2,0.498,1113,29926362,4.832,2417,29926362,9.71
Ovary,27040,2019,2019,Female,F,Non-Hispanic,2186-5,0.622,12304,136711255,6.119,17825,136711255,9.831
Ovary,27040,2019,2019,Female,F,Unknown or Missing,UNK,Not Applicable,28,Not Applicable,Not Applicable,39,Not Applicable,Not Applicable
Ovary,27040,2020,2020,Female,F,Hispanic,2135-2,0.541,1087,29686986,4.573,2161,29686986,8.445
Ovary,27040,2020,2020,Female,F,Non-Hispanic,2186-5,0.655,11937,132552322,6.044,16328,132552322,9.227
Ovary,27040,2020,2020,Female,F,Unknown or Missing,UNK,Not Applicable,16,Not Applicable,Not Applicable,29,Not Applicable,Not Applicable
Pancreas,21100,1999,1999,Female,F,Hispanic,2135-2,0.752,572,16482539,7.257,774,16482539,9.654
Pancreas,21100,1999,1999,Female,F,Non-Hispanic,2186-5,0.975,14085,123911675,9.358,14303,123911675,9.602
Pancreas,21100,1999,1999,Female,F,Unknown or Missing,UNK,Not Applicable,37,Not Applicable,Not Applicable,35,Not Applicable,Not Applicable
Pancreas,21100,1999,1999,Male,M,Hispanic,2135-2,0.868,563,17412426,8.915,681,17412426,10.27
Pancreas,21100,1999,1999,Male,M,Non-Hispanic,2186-5,0.989,13357,117654708,12.447,13676,117654708,12.585
Pancreas,21100,1999,1999,Male,M,Unknown or Missing,UNK,Not Applicable,41,Not Applicable,Not Applicable,26,Not Applicable,Not Applicable
Pancreas,21100,2000,2000,Female,F,Hispanic,2135-2,0.792,623,17296134,7.533,822,17296134,9.514
Pancreas,21100,2000,2000,Female,F,Non-Hispanic,2186-5,0.961,14227,124569636,9.345,14589,124569636,9.719
Pancreas,21100,2000,2000,Female,F,Unknown or Missing,UNK,Not Applicable,35,Not Applicable,Not Applicable,46,Not Applicable,Not Applicable
Pancreas,21100,2000,2000,Male,M,Hispanic,2135-2,0.761,620,18311173,9.332,806,18311173,12.256
Pancreas,21100,2000,2000,Male,M,Non-Hispanic,2186-5,0.965,13396,118381271,12.286,14072,118381271,12.733
Pancreas,21100,2000,2000,Male,M,Unknown or Missing,UNK,Not Applicable,28,Not Applicable,Not Applicable,28,Not Applicable,Not Applicable
Pancreas,21100,2001,2001,Female,F,Hispanic,2135-2,0.816,693,18038562,7.908,882,18038562,9.692
Pancreas,21100,2001,2001,Female,F,Non-Hispanic,2186-5,0.959,14462,125565415,9.38,14869,125565415,9.779
Pancreas,21100,2001,2001,Female,F,Unknown or Missing,UNK,Not Applicable,28,Not Applicable,Not Applicable,34,Not Applicable,Not Applicable
Pancreas,21100,2001,2001,Male,M,Hispanic,2135-2,0.807,643,19057491,9.206,829,19057491,11.404
Pancreas,21100,2001,2001,Male,M,Non-Hispanic,2186-5,0.962,13645,119454493,12.301,14371,119454493,12.785
Pancreas,21100,2001,2001,Male,M,Unknown or Missing,UNK,Not Applicable,32,Not Applicable,Not Applicable,39,Not Applicable,Not Applicable
Pancreas,21100,2002,2002,Female,F,Hispanic,2135-2,0.765,694,18777495,7.594,935,18777495,9.931
Pancreas,21100,2002,2002,Female,F,Non-Hispanic,2186-5,0.947,14486,126141727,9.315,15092,126141727,9.831
Pancreas,21100,2002,2002,Female,F,Unknown or Missing,UNK,Not Applicable,32,Not Applicable,Not Applicable,39,Not Applicable,Not Applicable
Pancreas,21100,2002,2002,Male,M,Hispanic,2135-2,0.763,667,19788056,8.785,894,19788056,11.508
Pancreas,21100,2002,2002,Male,M,Non-Hispanic,2186-5,0.974,14025,120059234,12.396,14615,120059234,12.727
Pancreas,21100,2002,2002,Male,M,Unknown or Missing,UNK,Not Applicable,29,Not Applicable,Not Applicable,38,Not Applicable,Not Applicable
Pancreas,21100,2003,2003,Female,F,Hispanic,2135-2,0.788,741,19529116,7.645,967,19529116,9.698
Pancreas,21100,2003,2003,Female,F,Non-Hispanic,2186-5,0.923,14948,128149920,9.384,15988,128149920,10.166
Pancreas,21100,2003,2003,Female,F,Unknown or Missing,UNK,Not Applicable,28,Not Applicable,Not Applicable,41,Not Applicable,Not Applicable
Pancreas,21100,2003,2003,Male,M,Hispanic,2135-2,0.823,744,20516198,9.562,916,20516198,11.624
Pancreas,21100,2003,2003,Male,M,Non-Hispanic,2186-5,0.926,14285,121912699,12.241,15604,121912699,13.224
Pancreas,21100,2003,2003,Male,M,Unknown or Missing,UNK,Not Applicable,31,Not Applicable,Not Applicable,33,Not Applicable,Not Applicable
Pancreas,21100,2004,2004,Female,F,Hispanic,2135-2,0.783,781,20263650,7.647,1040,20263650,9.771
Pancreas,21100,2004,2004,Female,F,Non-Hispanic,2186-5,0.927,15194,128713636,9.419,16161,128713636,10.163
Pancreas,21100,2004,2004,Female,F,Unknown or Missing,UNK,Not Applicable,20,Not Applicable,Not Applicable,51,Not Applicable,Not Applicable
Pancreas,21100,2004,2004,Male,M,Hispanic,2135-2,0.802,789,21233735,9.594,1033,21233735,11.958
Pancreas,21100,2004,2004,Male,M,Non-Hispanic,2186-5,0.945,14953,122594277,12.577,16032,122594277,13.309
Pancreas,21100,2004,2004,Male,M,Unknown or Missing,UNK,Not Applicable,34,Not Applicable,Not Applicable,39,Not Applicable,Not Applicable
Pancreas,21100,2005,2005,Female,F,Hispanic,2135-2,0.833,875,21030934,8.176,1093,21030934,9.81
Pancreas,21100,2005,2005,Female,F,Non-Hispanic,2186-5,0.917,15714,129182533,9.635,16916,129182533,10.503
Pancreas,21100,2005,2005,Female,F,Unknown or Missing,UNK,Not Applicable,23,Not Applicable,Not Applicable,30,Not Applicable,Not Applicable
Pancreas,21100,2005,2005,Male,M,Hispanic,2135-2,0.842,872,21983069,10.029,1079,21983069,11.914
Pancreas,21100,2005,2005,Male,M,Non-Hispanic,2186-5,0.939,15262,123116126,12.593,16472,123116126,13.406
Pancreas,21100,2006,2006,Female,F,Hispanic,2135-2,0.789,867,21837469,7.666,1140,21837469,9.719
Pancreas,21100,2006,2006,Female,F,Non-Hispanic,2186-5,0.908,16009,129895178,9.688,17371,129895178,10.671
Pancreas,21100,2006,2006,Female,F,Unknown or Missing,UNK,Not Applicable,19,Not Applicable,Not Applicable,48,Not Applicable,Not Applicable
Pancreas,21100,2006,2006,Male,M,Hispanic,2135-2,0.786,860,22764677,9.539,1145,22764677,12.144
Pancreas,21100,2006,2006,Male,M,Non-Hispanic,2186-5,0.922,15672,123882588,12.634,17192,123882588,13.703
Pancreas,21100,2006,2006,Male,M,Unknown or Missing,UNK,Not Applicable,27,Not Applicable,Not Applicable,45,Not Applicable,Not Applicable
Pancreas,21100,2007,2007,Female,F,Hispanic,2135-2,0.796,910,22650892,7.757,1197,22650892,9.741
Pancreas,21100,2007,2007,Female,F,Non-Hispanic,2186-5,0.899,16060,130515461,9.595,17632,130515461,10.67
Pancreas,21100,2007,2007,Male,M,Hispanic,2135-2,0.768,869,23542063,9.034,1176,23542063,11.769
Pancreas,21100,2007,2007,Male,M,Non-Hispanic,2186-5,0.926,16240,124522791,12.81,17750,124522791,13.828
Pancreas,21100,2007,2007,Male,M,Unknown or Missing,UNK,Not Applicable,23,Not Applicable,Not Applicable,51,Not Applicable,Not Applicable
Pancreas,21100,2008,2008,Female,F,Hispanic,2135-2,0.708,931,23468891,7.492,1357,23468891,10.586
Pancreas,21100,2008,2008,Female,F,Non-Hispanic,2186-5,0.897,16767,131135124,9.841,18425,131135124,10.972
Pancreas,21100,2008,2008,Female,F,Unknown or Missing,UNK,Not Applicable,21,Not Applicable,Not Applicable,33,Not Applicable,Not Applicable
Pancreas,21100,2008,2008,Male,M,Hispanic,2135-2,0.831,1011,24320894,10.038,1269,24320894,12.08
Pancreas,21100,2008,2008,Male,M,Non-Hispanic,2186-5,0.904,16471,125169057,12.691,18501,125169057,14.045
Pancreas,21100,2008,2008,Male,M,Unknown or Missing,UNK,Not Applicable,33,Not Applicable,Not Applicable,61,Not Applicable,Not Applicable
Pancreas,21100,2009,2009,Female,F,Hispanic,2135-2,0.762,1016,24261364,7.813,1394,24261364,10.259
Pancreas,21100,2009,2009,Female,F,Non-Hispanic,2186-5,0.897,16717,131702711,9.682,18373,131702711,10.79
Pancreas,21100,2009,2009,Female,F,Unknown or Missing,UNK,Not Applicable,25,Not Applicable,Not Applicable,32,Not Applicable,Not Applicable
Pancreas,21100,2009,2009,Male,M,Hispanic,2135-2,0.789,1054,25062023,9.827,1359,25062023,12.448
Pancreas,21100,2009,2009,Male,M,Non-Hispanic,2186-5,0.897,16793,125745431,12.636,18967,125745431,14.083
Pancreas,21100,2009,2009,Male,M,Unknown or Missing,UNK,Not Applicable,23,Not Applicable,Not Applicable,47,Not Applicable,Not Applicable
Pancreas,21100,2010,2010,Female,F,Hispanic,2135-2,0.781,1096,24992953,7.922,1454,24992953,10.149
Pancreas,21100,2010,2010,Female,F,Non-Hispanic,2186-5,0.882,17074,132256712,9.716,19076,132256712,11.02
Pancreas,21100,2010,2010,Female,F,Unknown or Missing,UNK,Not Applicable,19,Not Applicable,Not Applicable,37,Not Applicable,Not Applicable
Pancreas,21100,2010,2010,Male,M,Hispanic,2135-2,0.778,1046,25738929,9.327,1415,25738929,11.986
Pancreas,21100,2010,2010,Male,M,Non-Hispanic,2186-5,0.92,17620,126338549,12.966,19459,126338549,14.097
Pancreas,21100,2010,2010,Male,M,Unknown or Missing,UNK,Not Applicable,33,Not Applicable,Not Applicable,54,Not Applicable,Not Applicable
Pancreas,21100,2011,2011,Female,F,Hispanic,2135-2,0.76,1112,25565638,7.684,1522,25565638,10.108
Pancreas,21100,2011,2011,Female,F,Non-Hispanic,2186-5,0.874,17327,132804863,9.712,19543,132804863,11.117
Pancreas,21100,2011,2011,Female,F,Unknown or Missing,UNK,Not Applicable,24,Not Applicable,Not Applicable,54,Not Applicable,Not Applicable
Pancreas,21100,2011,2011,Male,M,Hispanic,2135-2,0.817,1193,26254388,10.173,1540,26254388,12.457
Pancreas,21100,2011,2011,Male,M,Non-Hispanic,2186-5,0.882,17648,126958592,12.684,20287,126958592,14.379
Pancreas,21100,2011,2011,Male,M,Unknown or Missing,UNK,Not Applicable,40,Not Applicable,Not Applicable,45,Not Applicable,Not Applicable
Pancreas,21100,2012,2012,Female,F,Hispanic,2135-2,0.755,1182,26106559,7.794,1654,26106559,10.33
Pancreas,21100,2012,2012,Female,F,Non-Hispanic,2186-5,0.874,17872,133374076,9.811,20156,133374076,11.22
Pancreas,21100,2012,2012,Female,F,Unknown or Missing,UNK,Not Applicable,25,Not Applicable,Not Applicable,46,Not Applicable,Not Applicable
Pancreas,21100,2012,2012,Male,M,Hispanic,2135-2,0.835,1225,26757437,9.628,1508,26757437,11.529
Pancreas,21100,2012,2012,Male,M,Non-Hispanic,2186-5,0.877,18435,127639590,12.878,21279,127639590,14.677
Pancreas,21100,2012,2012,Male,M,Unknown or Missing,UNK,Not Applicable,58,Not Applicable,Not Applicable,51,Not Applicable,Not Applicable
Pancreas,21100,2013,2013,Female,F,Hispanic,2135-2,0.76,1266,26641948,7.898,1736,26641948,10.398
Pancreas,21100,2013,2013,Female,F,Non-Hispanic,2186-5,0.857,17850,133903945,9.597,20451,133903945,11.199
Pancreas,21100,2013,2013,Female,F,Unknown or Missing,UNK,Not Applicable,26,Not Applicable,Not Applicable,47,Not Applicable,Not Applicable
Pancreas,21100,2013,2013,Male,M,Hispanic,2135-2,0.738,1207,27259191,9.14,1729,27259191,12.379
Pancreas,21100,2013,2013,Male,M,Non-Hispanic,2186-5,0.868,18608,128254863,12.737,21730,128254863,14.666
Pancreas,21100,2013,2013,Male,M,Unknown or Missing,UNK,Not Applicable,39,Not Applicable,Not Applicable,50,Not Applicable,Not Applicable
Pancreas,21100,2014,2014,Female,F,Hispanic,2135-2,0.733,1288,27186616,7.587,1821,27186616,10.347
Pancreas,21100,2014,2014,Female,F,Non-Hispanic,2186-5,0.845,18343,134503903,9.695,21290,134503903,11.471
Pancreas,21100,2014,2014,Female,F,Unknown or Missing,UNK,Not Applicable,33,Not Applicable,Not Applicable,41,Not Applicable,Not Applicable
Pancreas,21100,2014,2014,Male,M,Hispanic,2135-2,0.8,1313,27786043,9.447,1710,27786043,11.804
Pancreas,21100,2014,2014,Male,M,Non-Hispanic,2186-5,0.859,19380,128909767,12.893,22839,128909767,15.017
Pancreas,21100,2014,2014,Male,M,Unknown or Missing,UNK,Not Applicable,61,Not Applicable,Not Applicable,57,Not Applicable,Not Applicable
Pancreas,21100,2015,2015,Female,F,Hispanic,2135-2,0.776,1419,27757109,7.944,1885,27757109,10.239
Pancreas,21100,2015,2015,Female,F,Non-Hispanic,2186-5,0.836,18755,135075042,9.746,22001,135075042,11.658
Pancreas,21100,2015,2015,Female,F,Unknown or Missing,UNK,Not Applicable,49,Not Applicable,Not Applicable,51,Not Applicable,Not Applicable
Pancreas,21100,2015,2015,Male,M,Hispanic,2135-2,0.747,1402,28354824,9.501,1934,28354824,12.721
Pancreas,21100,2015,2015,Male,M,Non-Hispanic,2186-5,0.852,19921,129552019,12.954,23601,129552019,15.204
Pancreas,21100,2015,2015,Male,M,Unknown or Missing,UNK,Not Applicable,69,Not Applicable,Not Applicable,55,Not Applicable,Not Applicable
Pancreas,21100,2016,2016,Female,F,Hispanic,2135-2,0.693,1433,28342097,7.672,2153,28342097,11.075
Pancreas,21100,2016,2016,Female,F,Non-Hispanic,2186-5,0.848,19377,135643965,9.891,22355,135643965,11.661
Pancreas,21100,2016,2016,Female,F,Unknown or Missing,UNK,Not Applicable,48,Not Applicable,Not Applicable,56,Not Applicable,Not Applicable
Pancreas,21100,2016,2016,Male,M,Hispanic,2135-2,0.781,1486,28936905,9.722,2016,28936905,12.444
Pancreas,21100,2016,2016,Male,M,Non-Hispanic,2186-5,0.851,20349,130148788,12.957,24153,130148788,15.218
Pancreas,21100,2016,2016,Male,M,Unknown or Missing,UNK,Not Applicable,64,Not Applicable,Not Applicable,56,Not Applicable,Not Applicable
Pancreas,21100,2017,2017,Female,F,Hispanic,2135-2,0.732,1569,28906337,8.039,2230,28906337,10.982
Pancreas,21100,2017,2017,Female,F,Non-Hispanic,2186-5,0.831,19473,136102346,9.74,22981,136102346,11.714
Pancreas,21100,2017,2017,Female,F,Unknown or Missing,UNK,Not Applicable,50,Not Applicable,Not Applicable,45,Not Applicable,Not Applicable
Pancreas,21100,2017,2017,Male,M,Hispanic,2135-2,0.742,1499,29490085,9.215,2130,29490085,12.425
Pancreas,21100,2017,2017,Male,M,Non-Hispanic,2186-5,0.856,21380,130623360,13.265,25158,130623360,15.492
Pancreas,21100,2017,2017,Male,M,Unknown or Missing,UNK,Not Applicable,40,Not Applicable,Not Applicable,60,Not Applicable,Not Applicable
Pancreas,21100,2018,2018,Female,F,Hispanic,2135-2,0.728,1672,29449021,8.147,2387,29449021,11.189
Pancreas,21100,2018,2018,Female,F,Non-Hispanic,2186-5,0.825,20032,136428665,9.811,23681,136428665,11.892
Pancreas,21100,2018,2018,Female,F,Unknown or Missing,UNK,Not Applicable,33,Not Applicable,Not Applicable,47,Not Applicable,Not Applicable
Pancreas,21100,2018,2018,Male,M,Hispanic,2135-2,0.756,1671,30013471,9.811,2352,30013471,12.974
Pancreas,21100,2018,2018,Male,M,Non-Hispanic,2186-5,0.838,21464,130947042,13.001,25850,130947042,15.505
Pancreas,21100,2018,2018,Male,M,Unknown or Missing,UNK,Not Applicable,42,Not Applicable,Not Applicable,63,Not Applicable,Not Applicable
Pancreas,21100,2019,2019,Female,F,Hispanic,2135-2,0.697,1703,29926362,7.942,2525,29926362,11.39
Pancreas,21100,2019,2019,Female,F,Non-Hispanic,2186-5,0.82,20418,136711255,9.803,24350,136711255,11.952
Pancreas,21100,2019,2019,Female,F,Unknown or Missing,UNK,Not Applicable,32,Not Applicable,Not Applicable,49,Not Applicable,Not Applicable
Pancreas,21100,2019,2019,Male,M,Hispanic,2135-2,0.772,1809,30471950,9.902,2404,30471950,12.82
Pancreas,21100,2019,2019,Male,M,Non-Hispanic,2186-5,0.827,21881,131220386,12.951,26571,131220386,15.668
Pancreas,21100,2019,2019,Male,M,Unknown or Missing,UNK,Not Applicable,42,Not Applicable,Not Applicable,49,Not Applicable,Not Applicable
Pancreas,21100,2020,2020,Female,F,Hispanic,2135-2,0.778,1793,29686986,8.164,2403,29686986,10.499
Pancreas,21100,2020,2020,Female,F,Non-Hispanic,2186-5,0.853,19960,132552322,9.725,22811,132552322,11.405
Pancreas,21100,2020,2020,Female,F,Unknown or Missing,UNK,Not Applicable,30,Not Applicable,Not Applicable,51,Not Applicable,Not Applicable
Pancreas,21100,2020,2020,Male,M,Hispanic,2135-2,0.78,1757,30192675,9.439,2346,30192675,12.104
Pancreas,21100,2020,2020,Male,M,Non-Hispanic,2186-5,0.871,21724,127158928,13.028,25084,127158928,14.956
Pancreas,21100,2020,2020,Male,M,Unknown or Missing,UNK,Not Applicable,34,Not Applicable,Not Applicable,52,Not Applicable,Not Applicable
Prostate,28010,1999,1999,Male,M,Hispanic,2135-2,0.157,1050,17412426,23.441,9303,17412426,148.917
Prostate,28010,1999,1999,Male,M,Non-Hispanic,2186-5,0.187,30074,117654708,31.722,188733,117654708,170.068
Prostate,28010,1999,1999,Male,M,Unknown or Missing,UNK,Not Applicable,64,Not Applicable,Not Applicable,632,Not Applicable,Not Applicable
Prostate,28010,2000,2000,Male,M,Hispanic,2135-2,0.144,1032,18311173,21.846,10134,18311173,151.721
Prostate,28010,2000,2000,Male,M,Non-Hispanic,2186-5,0.177,29471,118381271,30.629,194534,118381271,172.62
Prostate,28010,2000,2000,Male,M,Unknown or Missing,UNK,Not Applicable,81,Not Applicable,Not Applicable,644,Not Applicable,Not Applicable
Prostate,28010,2001,2001,Male,M,Hispanic,2135-2,0.162,1226,19057491,24.096,10606,19057491,149.112
Prostate,28010,2001,2001,Male,M,Non-Hispanic,2186-5,0.169,28995,119454493,29.552,201470,119454493,175.29
Prostate,28010,2001,2001,Male,M,Unknown or Missing,UNK,Not Applicable,86,Not Applicable,Not Applicable,631,Not Applicable,Not Applicable
Prostate,28010,2002,2002,Male,M,Hispanic,2135-2,0.151,1209,19788056,23.271,11602,19788056,153.721
Prostate,28010,2002,2002,Male,M,Non-Hispanic,2186-5,0.166,28757,120059234,28.783,203257,120059234,172.938
Prostate,28010,2002,2002,Male,M,Unknown or Missing,UNK,Not Applicable,85,Not Applicable,Not Applicable,595,Not Applicable,Not Applicable
Prostate,28010,2003,2003,Male,M,Hispanic,2135-2,0.153,1219,20516198,21.921,11266,20516198,143.257
Prostate,28010,2003,2003,Male,M,Non-Hispanic,2186-5,0.173,28279,121912699,27.414,192696,121912699,158.864
Prostate,28010,2003,2003,Male,M,Unknown or Missing,UNK,Not Applicable,56,Not Applicable,Not Applicable,510,Not Applicable,Not Applicable
Prostate,28010,2004,2004,Male,M,Hispanic,2135-2,0.153,1238,21233735,21.072,11586,21233735,138.153
Prostate,28010,2004,2004,Male,M,Non-Hispanic,2186-5,0.171,27723,122594277,26.429,192016,122594277,154.781
Prostate,28010,2004,2004,Male,M,Unknown or Missing,UNK,Not Applicable,41,Not Applicable,Not Applicable,503,Not Applicable,Not Applicable
Prostate,28010,2005,2005,Male,M,Hispanic,2135-2,0.156,1300,21983069,20.87,11890,21983069,134.045
Prostate,28010,2005,2005,Male,M,Non-Hispanic,2186-5,0.168,27566,123116126,25.642,193649,123116126,152.65
Prostate,28010,2005,2005,Male,M,Unknown or Missing,UNK,Not Applicable,39,Not Applicable,Not Applicable,572,Not Applicable,Not Applicable
Prostate,28010,2006,2006,Male,M,Hispanic,2135-2,0.151,1373,22764677,20.567,12809,22764677,136.046
Prostate,28010,2006,2006,Male,M,Non-Hispanic,2186-5,0.15,26946,123882588,24.414,211962,123882588,162.805
Prostate,28010,2006,2006,Male,M,Unknown or Missing,UNK,Not Applicable,53,Not Applicable,Not Applicable,625,Not Applicable,Not Applicable
Prostate,28010,2007,2007,Male,M,Hispanic,2135-2,0.144,1432,23542063,20.031,13901,23542063,139.219
Prostate,28010,2007,2007,Male,M,Non-Hispanic,2186-5,0.146,27633,124522791,24.452,225407,124522791,167.903
Prostate,28010,2007,2007,Male,M,Unknown or Missing,UNK,Not Applicable,28,Not Applicable,Not Applicable,585,Not Applicable,Not Applicable
Prostate,28010,2008,2008,Male,M,Hispanic,2135-2,0.143,1436,24320894,19.139,14220,24320894,134.206
Prostate,28010,2008,2008,Male,M,Non-Hispanic,2186-5,0.15,26979,125169057,23.203,214237,125169057,154.691
Prostate,28010,2008,2008,Male,M,Unknown or Missing,UNK,Not Applicable,56,Not Applicable,Not Applicable,612,Not Applicable,Not Applicable
Prostate,28010,2009,2009,Male,M,Hispanic,2135-2,0.141,1436,25062023,18.128,14688,25062023,128.989
Prostate,28010,2009,2009,Male,M,Non-Hispanic,2186-5,0.152,26604,125745431,22.35,209804,125745431,146.612
Prostate,28010,2009,2009,Male,M,Unknown or Missing,UNK,Not Applicable,48,Not Applicable,Not Applicable,546,Not Applicable,Not Applicable
Prostate,28010,2010,2010,Male,M,Hispanic,2135-2,0.156,1535,25738929,18.274,14053,25738929,116.922
Prostate,28010,2010,2010,Male,M,Non-Hispanic,2186-5,0.159,26972,126338549,22.015,203086,126338549,138.265
Prostate,28010,2010,2010,Male,M,Unknown or Missing,UNK,Not Applicable,53,Not Applicable,Not Applicable,530,Not Applicable,Not Applicable
Prostate,28010,2011,2011,Male,M,Hispanic,2135-2,0.156,1576,26254388,17.453,14288,26254388,111.663
Prostate,28010,2011,2011,Male,M,Non-Hispanic,2186-5,0.152,26343,126958592,20.987,208730,126958592,138.355
Prostate,28010,2011,2011,Male,M,Unknown or Missing,UNK,Not Applicable,51,Not Applicable,Not Applicable,567,Not Applicable,Not Applicable
Prostate,28010,2012,2012,Male,M,Hispanic,2135-2,0.17,1592,26757437,16.628,13255,26757437,97.945
Prostate,28010,2012,2012,Male,M,Non-Hispanic,2186-5,0.173,25595,127639590,19.757,177601,127639590,114.11
Prostate,28010,2012,2012,Male,M,Unknown or Missing,UNK,Not Applicable,57,Not Applicable,Not Applicable,504,Not Applicable,Not Applicable
Prostate,28010,2013,2013,Male,M,Hispanic,2135-2,0.167,1634,27259191,16.069,13576,27259191,95.982
Prostate,28010,2013,2013,Male,M,Non-Hispanic,2186-5,0.177,25983,128254863,19.49,175717,128254863,110.147
Prostate,28010,2013,2013,Male,M,Unknown or Missing,UNK,Not Applicable,64,Not Applicable,Not Applicable,423,Not Applicable,Not Applicable
Prostate,28010,2014,2014,Male,M,Hispanic,2135-2,0.18,1707,27786043,15.705,13173,27786043,87.44
Prostate,28010,2014,2014,Male,M,Non-Hispanic,2186-5,0.186,26538,128909767,19.334,170436,128909767,104.092
Prostate,28010,2014,2014,Male,M,Unknown or Missing,UNK,Not Applicable,98,Not Applicable,Not Applicable,464,Not Applicable,Not Applicable
Prostate,28010,2015,2015,Male,M,Hispanic,2135-2,0.187,1867,28354824,16.194,13877,28354824,86.738
Prostate,28010,2015,2015,Male,M,Non-Hispanic,2186-5,0.176,26908,129552019,19.126,181968,129552019,108.457
Prostate,28010,2015,2015,Male,M,Unknown or Missing,UNK,Not Applicable,73,Not Applicable,Not Applicable,569,Not Applicable,Not Applicable
Prostate,28010,2016,2016,Male,M,Hispanic,2135-2,0.183,1929,28936905,15.867,14514,28936905,86.907
Prostate,28010,2016,2016,Male,M,Non-Hispanic,2186-5,0.178,28361,130148788,19.63,189235,130148788,110.236
Prostate,28010,2016,2016,Male,M,Unknown or Missing,UNK,Not Applicable,80,Not Applicable,Not Applicable,507,Not Applicable,Not Applicable
Prostate,28010,2017,2017,Male,M,Hispanic,2135-2,0.182,2011,29490085,15.916,15385,29490085,87.426
Prostate,28010,2017,2017,Male,M,Non-Hispanic,2186-5,0.165,28403,130623360,19.06,202884,130623360,115.305
Prostate,28010,2017,2017,Male,M,Unknown or Missing,UNK,Not Applicable,72,Not Applicable,Not Applicable,503,Not Applicable,Not Applicable
Prostate,28010,2018,2018,Male,M,Hispanic,2135-2,0.178,2115,30013471,15.484,16154,30013471,87.074
Prostate,28010,2018,2018,Male,M,Non-Hispanic,2186-5,0.164,29297,130947042,19.139,208971,130947042,116.57
Prostate,28010,2018,2018,Male,M,Unknown or Missing,UNK,Not Applicable,76,Not Applicable,Not Applicable,596,Not Applicable,Not Applicable
Prostate,28010,2019,2019,Male,M,Hispanic,2135-2,0.172,2135,30471950,14.962,16940,30471950,87.078
Prostate,28010,2019,2019,Male,M,Non-Hispanic,2186-5,0.156,29438,131220386,18.708,219620,131220386,120.049
Prostate,28010,2019,2019,Male,M,Unknown or Missing,UNK,Not Applicable,63,Not Applicable,Not Applicable,601,Not Applicable,Not Applicable
Prostate,28010,2020,2020,Male,M,Hispanic,2135-2,0.204,2131,30192675,14.368,14157,30192675,70.423
Prostate,28010,2020,2020,Male,M,Non-Hispanic,2186-5,0.182,29496,127158928,18.873,186352,127158928,103.505
Prostate,28010,2020,2020,Male,M,Unknown or Missing,UNK,Not Applicable,61,Not Applicable,Not Applicable,573,Not Applicable,Not Applicable
Stomach,21020,1999,1999,Female,F,Hispanic,2135-2,0.568,448,16482539,5.393,819,16482539,9.498
Stomach,21020,1999,1999,Female,F,Non-Hispanic,2186-5,0.651,4718,123911675,3.119,7135,123911675,4.792
Stomach,21020,1999,1999,Female,F,Unknown or Missing,UNK,Not Applicable,16,Not Applicable,Not Applicable,19,Not Applicable,Not Applicable
Stomach,21020,1999,1999,Male,M,Hispanic,2135-2,0.524,606,17412426,9.415,1159,17412426,17.97
Stomach,21020,1999,1999,Male,M,Non-Hispanic,2186-5,0.611,6724,117654708,6.396,11252,117654708,10.461
Stomach,21020,1999,1999,Male,M,Unknown or Missing,UNK,Not Applicable,24,Not Applicable,Not Applicable,36,Not Applicable,Not Applicable
Stomach,21020,2000,2000,Female,F,Hispanic,2135-2,0.546,456,17296134,5.049,847,17296134,9.249
Stomach,21020,2000,2000,Female,F,Non-Hispanic,2186-5,0.66,4767,124569636,3.094,7065,124569636,4.69
Stomach,21020,2000,2000,Male,M,Hispanic,2135-2,0.593,654,18311173,9.917,1166,18311173,16.711
Stomach,21020,2000,2000,Male,M,Non-Hispanic,2186-5,0.603,6552,118381271,6.149,11144,118381271,10.194
Stomach,21020,2000,2000,Male,M,Unknown or Missing,UNK,Not Applicable,25,Not Applicable,Not Applicable,29,Not Applicable,Not Applicable
